State,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
Andhra Pr.,38497,45852,53124,59972,63721,76464,83316,93217,100776,108695,122718,134767,147606,174064,212361,237383,273327,319864,362245,410068,464184,520030
Arunachal Pr.,1219,1324,1616,1654,1825,2067,2224,2433,2649,2896,3308,3488,3755,4108,4810,5687,7474,9021,10775,11836,13545,15588
Assam,18576,21530,23811,25781,27976,31352,35897,38611,42133,46127,49373,53398,59385,64692,71076,81074,95975,112688,125903,138401,159460,183798
Bihar,31050,35314,33324,44292,45818,53128,57488,63930,64095,72358,71185,77781,82490,100737,113680,142279,162923,203555,243269,293616,343663,402283
Jharkhand,17742,19816,21636,23216,30365,33471,33427,30884,35832,39898,43574,47862,53381,66875,80255,96972,99364,119420,144382,165641,185682,210192
Goa,3108,3680,4304,5141,6381,7878,8768,9982,11026,12601,12260,12713,14327,16523,19565,25414,29126,33605,43255,42407,48897,
Gujarat,55723,71946,81427,97229,103290,119281,123344,122882,137654,158230,187701,203373,244736,283693,329285,367912,431262,521519,598786,658540,765638,
Haryana,25542,30290,34380,41135,44605,50372,56448,63482,69894,76374,85359,95795,108885,128732,151596,182522,223600,260621,298688,341351,388917,435310
Himachal Pr.,5731,6980,8026,9293,10589,12817,14654,16285,17937,19454,21643,24077,27127,30274,33963,41483,48189,57452,64957,73710,82585,
J & K,8296,9125,10590,11933,13453,14930,18260,19292,20831,23167,25080,27305,29920,33230,37099,42315,48385,58073,68185,76916,87570,87921
Karnataka,16528,19279,22618,26224,29390,35343,38212,42062,43640,47721,52357,59758,60901,66935,83950,87794,100621,127281,135618,151655,172773,197514
Kerala,43666,52873,64293,73744,82077,93223,103723,115761,120090,134594,148386,166747,195904,227237,270629,310312,337559,410703,455212,522673,614607,702131
Madhya Pr.,43942,48997,55365,63706,69507,80101,90152,85308,98007,94359,113555,119264,136842,153785,175141,202783,231999,263773,312677,347841,396282,
Chattisgarh,39788,43694,48228,54481,60810,67557,71330,69202,82954,88691,108407,112927,124276,144577,161479,197276,227557,263396,305158,361270,434730,508006
Maharashtra,126607,145324,176322,200335,218051,234286,271750,266740,298078,335088,366515,415480,486766,584498,684817,753969,855751,1049150,1170121,1322222,1510132,1686695
Manipur,1664,1788,2070,2415,2746,3092,3558,3716,4255,4431,4661,5133,5718,6137,6783,7399,8254,9137,11084,12697,14324,
Meghalaya,1883,2075,2486,2739,3112,3663,4100,4646,5158,5506,6002,6559,7265,8625,9735,11617,12709,14583,17199,19009,21922,25333
Orissa,24287,29117,35529,34725,42234,46617,50722,50853,55067,57467,71245,77729,85096,101839,129274,148491,162946,197530,220589,251220,272980,310810
Punjab,33154,37505,42325,48444,53383,61091,66935,72352,77729,80774,88943,96839,108637,127123,152245,174039,197500,226204,256374,285119,317556,349826
Rajasthan,38134,47985,54724,66525,74095,84643,90859,91354,101873,97626,121457,127746,142236,171043,194822,230949,265825,338348,414179,470178,517615,574549
Sikkim,458,500,591,672,772,894,959,1103,1227,1402,1574,1739,1993,2161,2506,3229,6133,7412,8907,10473,12377,
Tamil Nadu,66713,79600,90658,103446,120038,137031,146426,163567,166413,179796,195281,219003,257833,310526,350819,401336,479733,584896,667202,744859,854238,976703
Uttar Pradesh,89041,104057,117593,141421,152248,170280,182975,191546,200662,218505,238156,260841,293172,336317,383026,444685,523394,600286,685496,780399,862746,976297
Uttaranchal,6975,8482,9236,10111,11021,12201,13155,15011,16169,18479,21308,24786,29968,36795,45856,56025,70730,83969,97858,108250,122897,138723
West Bengal,53882,62564,74499,82779,98807,116507,127922,141063,155185,166838,188029,208656,230245,261682,299483,341942,398880,460959,528316,603311,706561,800868
Chandigarh,1709,2039,2469,2963,3407,3990,4531,4892,5466,6359,7327,8504,10185,12276,13669,15334,17577,20014,22826,25046,29076,
Delhi,23211,28579,31391,37377,45594,52504,58614,69366,75182,79692,89060,100325,115374,135584,157947,189533,217619,252753,287107,334915,391125,451154
Pondicherry,874,1004,1176,1699,2339,2657,2779,3369,3732,4483,5120,5754,7977,8335,9251,10050,12304,13092,14661,16795,21077,25819
